id,mentor,mentor_school,education,income_log,gpa
94579375,0,97,15,10.65,2.25
94579941,1,11,17,8.99,3.29
94579945,0,97,11,0,1.9
94579998,0,97,13,9.95,3.69
94593905,0,97,17,0,3.77
94614472,1,11,15,10.82,2.26
94614976,0,97,15,10.74,2.23
94619469,1,11,17,10,3.65
94619867,0,97,20,11.78,3.56
94619963,1,11,17,9.21,3.23
94676728,0,97,13,8.88,2.33
94710376,0,97,14,7.6,2.35
94710390,1,12,15,9.31,3.42
94710450,1,11,15,10.49,1.86
94710999,1,11,15,10.13,1.59
94711266,1,12,17,10.31,3.6
94711862,0,97,15,9.8,2.06
94711974,0,97,17,11,2.84
94712047,0,97,14,8.16,2.88
94712211,0,97,13,10.4,2.47
94712218,0,97,13,10.09,1.05
94712917,1,12,13,10.93,2.71
94714022,0,97,14,10.31,2.23
94714085,1,11,17,10.86,3.04
94714088,0,97,15,10.58,2.86
94714242,1,11,15,10.82,3.04
94714310,0,97,13,16.12,2.07
94714394,1,11,14,9.31,3.21
94714398,0,97,11,8.99,1
94715257,1,11,15,10.28,2.94
94715393,1,11,19,10.92,3.21
94715980,1,12,17,10.49,3.94
94715981,1,11,14,9.21,1.96
94715987,1,12,17,10.46,4
94716068,0,97,17,10.71,2.35
94716217,1,11,15,9.9,3.09
94716627,1,11,17,10.78,2.7
94716893,0,97,15,11.16,2.71
94716975,0,97,15,16.12,2.56
94716976,0,97,11,9.62,0.63
94717262,0,97,11,8.01,1.35
94717461,1,11,15,9.17,2.25
94718027,0,97,15,0,2.22
94718194,0,97,15,10.31,3.8
94718249,1,11,18,11.29,3.91
94718273,1,11,18,10.37,2.46
94718485,1,11,15,16.12,2.74
94718998,0,97,15,9.62,3.65
94719279,0,97,17,10.63,3.32
94719932,1,11,17,11.47,3.27
94719935,0,97,15,8.52,2.76
95374971,1,11,19,10.37,3.1
95500036,1,11,15,10.97,2.74
95500235,0,97,17,10.71,3
95500280,0,97,15,9.8,1.82
95500710,0,97,15,10.62,2.29
95501960,0,97,11,9.21,1.68
95504188,1,11,17,10.71,3.08
95504487,1,11,15,11.16,2.45
95504620,0,97,18,7.09,1.25
95504947,1,11,17,10.6,3.02
95506154,0,97,15,10.2,1.82
95506482,1,11,15,10.09,3.33
95506926,1,12,15,16.12,3.33
95507059,0,97,15,10.82,1.96
95507158,0,97,13.5,10.09,2.32
95508034,1,11,13.5,10.82,1.76
95508339,0,97,17,10.71,3.77
95508984,1,11,18,10.37,2.08
95543606,0,97,13,10.13,1.54
95548969,0,97,14,10.57,2.96
95570097,0,97,15,16.12,2
95570294,0,97,14,11.14,1.52
95570450,0,97,13,10.22,1.84
95571018,1,11,20,10.82,3.58
95571100,0,97,15,10.67,1.97
95571112,1,11,13,9.47,3.03
95571160,0,97,18,8.7,1.93
95571204,1,11,14,9.9,2.8
95571306,1,11,15,10.6,2.39
95571316,1,11,17,10.95,3.53
95571601,1,12,15,10.31,1.75
95571657,0,97,17,4.03,2.84
95571877,1,11,13,8.99,1.56
95572078,0,97,14,0,1.88
95572102,1,11,20,9.95,3.88
95572285,0,97,11,9.47,1.94
95572306,1,11,19,10.6,3.98
95572318,0,97,13.5,9.68,2.87
95572405,1,11,15,10.74,2.84
95572925,1,11,13,10.71,2.56
95573031,0,97,13,9.74,2.3
95573193,0,97,15,0,2.82
95573233,1,11,19,11.16,3.4
95573407,0,97,11,10.31,1.05
95573415,1,11,17,10.71,2.39
95573951,1,11,17,10.04,2.82
95573994,1,11,15,0,2.52
95574031,0,97,11,10.17,2
95574234,0,97,13,16.12,1.88
95574295,0,97,11,9.8,0
95574333,0,97,15,0,1.77
95574839,0,97,13,9.9,1.83
95574998,0,97,11,8.43,1.09
95575014,0,97,15,10.92,2.29
95575029,0,97,13,8.7,2.39
95575122,0,97,13,9.04,2
95575134,0,97,17,0,2.03
95575206,1,11,17,11.03,3.91
95575243,0,97,17,0,3.71
95575244,0,97,19,10.65,3.94
95575319,0,97,20,11.18,2.92
95575377,1,11,17,11.16,3.08
95575379,1,11,18,10.2,3.17
95575621,1,12,17,10.69,3.92
95575805,1,11,20,10.86,3.78
95575825,0,97,14,16.12,1.19
95576037,1,11,15,10.57,3.15
95576064,1,12,17,11.39,3.75
95576114,0,97,17,10.97,3.61
95576262,1,11,17,10.71,3.35
95576323,1,11,13,9.47,2.7
95576447,0,97,13,9.85,1.57
95576759,0,97,14,11.7,0.78
95576814,0,97,17,10.6,3.36
95576817,1,12,17,10.78,3.57
95576898,0,97,17,10.49,2.68
